Date,Query,Clicks,Impressions,CTR,Position
2024-01-02,best ai tools 2024,150,2000,0.075,1.1
2024-01-05,top programming languages,95,1800,0.052,3.9
2024-01-02,pandas dataframe tutorial,88,1200,0.07,2.5
2024-01-04,matplotlib gallery,55,800,0.068,4.2
2024-01-01,python for beginners,45,500,0.09,3.2
2024-01-03,what is machine learning,30,450,0.06,5.4
2024-01-04,python vs javascript,22,600,0.036,6.7
2024-01-05,data visualization tips,18,250,0.072,7.3
2024-01-01,how to learn data science,12,300,0.04,8.1
2024-01-03,google search analysis project,5,150,0.03,12.0
